kabupaten_kota,Tahun,bawang_daun,bawang_merah,bawang_putih,bayam,buncis,cabai_besar,cabai_rawit,kacang_panjang,kangkung,kentang,tomat,wortel,luas_bawang_daun,luas_bawang_merah,luas_bayam,luas_buncis,luas_cabai_besar,luas_cabai_rawit,luas_kacang_panjang,luas_kangkung,luas_kentang,luas_tomat,luas_wortel
Bandung,2019,392236.0,621001.0,29091.0,13434.0,144769.0,434261.0,210446.0,41487.0,46778.0,816543.0,738864.0,485646.0,203.5,97.0,140.0,309.0,269.0,344.5,162.0,377.0,1025.5,343.0,795.25
Bandung,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.5,97.0,140.0,309.0,269.0,344.5,162.0,377.0,1025.5,343.0,795.25
Bandung,2021,506296.0,589003.0,3163.0,29021.0,152244.0,508092.0,236799.0,73180.0,81518.0,706782.0,1009111.0,518335.0,3214.0,5002.0,239.0,539.0,2421.0,1342.0,242.0,417.0,3390.0,2131.0,2343.0
Bandung,2022,512082.0,772789.0,4165.0,23329.0,141640.0,362616.0,307601.0,60947.0,57636.0,723656.0,661593.0,617344.0,3548.0,6596.0,220.0,573.0,1767.0,1518.0,223.0,317.0,3642.0,1593.0,2991.0
Bandung,2023,571957.0,655147.0,1506.0,30854.0,129210.0,306819.0,276378.0,47755.0,78975.0,395740.0,672198.0,329711.0,3628.0,5507.0,285.0,497.0,1507.0,1490.0,236.5,451.0,1932.0,1700.0,1518.5
Bandung,2024,526106.0,876326.0,2049.0,32433.0,158629.0,348672.0,378618.0,92223.0,69821.0,501995.0,899377.0,260227.0,4414.0,7011.0,339.0,687.0,1817.0,1843.0,320.0,487.0,2966.0,2174.0,1972.0
Bekasi,2019,0.0,418.0,0.0,48512.0,0.0,637.0,946.0,9629.0,80660.0,0.0,0.0,0.0,3.1,7.575,858.5,0.0,37.9,38.760000000000005,49.105,1020.555,0.0,4.01,0.0
Bekasi,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,7.575,858.5,0.0,37.9,38.760000000000005,49.105,1020.555,0.0,4.01,0.0
Bekasi,2021,0.0,548.0,0.0,51376.0,0.0,8084.0,5825.0,5032.0,100237.0,0.0,220.0,0.0,3.1,6.0,1022.0,0.0,44.0,55.0,63.0,1321.0,0.0,1.0,0.0
Bekasi,2022,0.0,252.0,0.0,53735.0,0.0,5232.0,4620.0,10954.0,59471.0,0.0,1346.0,0.0,3.1,5.0,1404.0,0.0,40.0,52.0,95.0,1412.0,0.0,7.0,0.0
Bekasi,2023,167.1,540.0,0.0,72584.23,0.0,8600.9,9671.0,6130.82,85426.95,0.0,1282.0,0.0,2.5,9.15,1323.64,0.0,37.9,45.05,50.21,1375.15,0.0,6.01,0.0
Bekasi,2024,439.7,2164.6,0.0,77040.05,0.0,3313.07,5710.86,6332.28,90193.15,0.0,1060.3,0.0,3.7,34.55,1228.5,0.0,25.51,36.52,54.12,1268.11,0.0,2.01,0.0
